,MMM-YY,Emp_ID,Age,Gender,Salary,Dateofjoining,LastWorkingDate,Total Business Value,Quarterly Rating,Attrition,WorkingDays,City_C10,City_C11,City_C12,City_C13,City_C14,City_C15,City_C16,City_C17,City_C18,City_C19,City_C2,City_C20,City_C21,City_C22,City_C23,City_C24,City_C25,City_C26,City_C27,City_C28,City_C29,City_C3,City_C4,City_C5,City_C6,City_C7,City_C8,City_C9,Edu_College,Edu_Master,JoinDesignation_2,JoinDesignation_3,JoinDesignation_4,JoinDesignation_5,Designation_2,Designation_3,Designation_4,Designation_5,Difference_Designation_1,Difference_Designation_2,Difference_Designation_3,Difference_Designation_4
29,2017-12-01,41,35,1,92372,2016-07-04,2017-12-01,1208661.6666666667,2.0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
30,2016-05-01,42,44,0,45988,2015-10-20,2016-05-16,198938.0,1.0,1,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
31,2016-02-01,43,27,0,12906,2015-07-13,2016-02-20,179945.0,1.0,1,222,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2017-11-01,44,28,1,62100,2017-09-25,2017-11-24,50036.666666666664,1.0,1,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,2017-12-01,45,35,1,77544,2017-05-29,2017-12-01,746762.8571428572,2.7142857142857144,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
34,2016-03-01,46,36,0,42171,2015-10-28,2016-02-27,112763.33333333333,1.0,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2017-12-01,47,30,1,28000,2017-10-09,2017-12-01,288756.6666666667,2.0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2017-01-01,49,22,1,53039,2015-05-25,2017-01-21,138369.23076923078,1.2307692307692308,1,607,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
37,2016-02-01,50,49,0,89367,2015-11-20,2016-02-20,55155.0,1.0,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
38,2016-12-01,51,34,1,131347,2014-05-22,2016-12-23,319001.0,1.6,1,946,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
39,2017-12-01,52,37,1,48687,2017-06-28,2017-12-01,308765.0,1.5,0,156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
40,2017-12-01,54,35,1,127826,2016-07-11,2017-12-01,1879071.6666666667,2.2222222222222223,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
41,2017-03-01,55,30,0,29985,2016-11-21,2017-03-15,0.0,1.0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2017-12-01,56,36,0,80223,2015-07-20,2017-12-01,488477.9166666667,2.875,0,865,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,2017-07-01,57,38,0,84318,2014-07-26,2017-07-21,1199542.6315789474,3.0526315789473686,1,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
44,2016-01-01,58,41,1,57987,2015-10-15,2016-01-25,0.0,1.0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
45,2016-03-01,59,35,0,31644,2016-01-06,2016-03-28,44886.666666666664,1.0,1,82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2017-12-01,60,48,0,89592,2013-09-17,2017-12-01,2051063.3333333333,3.5,0,1536,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
47,2016-03-01,61,32,1,19818,2015-05-04,2016-03-17,-146433.33333333334,1.0,1,318,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,2017-12-01,62,27,1,62376,2017-11-28,2017-12-01,0.0,1.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,2017-12-01,63,28,1,93931,2013-04-30,2017-12-01,512213.3333333333,1.875,0,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
50,2017-06-01,64,33,1,66502,2017-01-31,2017-06-19,38788.0,1.0,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
51,2017-06-01,65,30,0,69539,2015-07-31,2017-06-16,651032.2222222222,2.5,1,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
52,2017-02-01,66,27,0,104286,2017-01-21,2017-02-01,0.0,1.0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
53,2017-12-01,67,41,1,65982,2016-01-04,2017-12-01,522645.8333333333,2.5,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
54,2017-12-01,68,32,1,79288,2012-10-18,2017-12-01,1137909.1666666667,3.25,0,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
55,2017-09-01,69,32,0,64604,2016-11-14,2017-09-12,421825.45454545453,1.8181818181818181,1,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
56,2016-01-01,70,35,1,19235,2015-10-08,2016-01-29,0.0,1.0,1,113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2016-02-01,71,43,1,54103,2015-05-25,2016-02-15,94390.0,1.0,1,266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
58,2017-12-01,72,28,1,42242,2017-10-18,2017-12-01,64526.666666666664,1.0,0,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
59,2017-10-01,74,35,0,59216,2017-05-01,2017-10-24,98711.66666666667,1.0,1,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
60,2017-12-01,75,25,0,39884,2017-07-21,2017-12-13,394321.6666666667,2.0,1,145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
61,2017-12-01,77,34,1,63918,2015-05-18,2017-12-01,748330.0,3.0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
62,2017-12-01,78,37,1,105946,2015-09-16,2017-12-01,1813812.9166666667,2.625,0,807,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
63,2016-08-01,79,32,1,114648,2016-07-09,2016-08-09,0.0,1.0,1,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
64,2017-12-01,80,29,0,56687,2017-10-02,2017-12-01,51100.0,1.0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
65,2016-10-01,81,39,1,77177,2015-06-12,2016-10-04,313368.0,1.6,1,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
66,2017-08-01,82,37,0,89013,2017-04-11,2017-07-29,0.0,1.0,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
67,2017-06-01,83,34,1,115159,2016-08-29,2017-06-07,75000.0,1.0,1,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
68,2017-09-01,84,42,1,25950,2016-07-04,2017-09-04,579201.3333333334,2.4,1,427,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2017-12-01,85,25,1,49509,2017-09-28,2017-12-01,0.0,1.0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,2016-01-01,86,35,1,49510,2015-05-28,2016-01-27,0.0,1.0,1,244,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,2017-12-01,87,37,1,119341,2016-08-31,2017-12-01,2251826.25,3.25,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
72,2016-06-01,88,45,0,62298,2015-01-06,2016-06-03,541478.3333333334,2.0,1,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
73,2017-08-01,89,28,1,58977,2016-05-30,2017-07-29,408762.0,2.0,1,425,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
74,2017-03-01,90,33,1,29408,2016-11-11,2017-03-10,108728.0,1.0,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
75,2016-12-01,91,31,1,22731,2016-08-03,2016-12-15,40000.0,1.0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
76,2016-02-01,93,30,1,39527,2015-07-14,2016-02-03,610060.0,2.0,1,204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
77,2017-03-01,95,29,0,60874,2017-01-30,2017-03-09,0.0,1.0,1,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
78,2017-11-01,96,35,1,64953,2017-07-17,2017-11-27,0.0,1.0,1,133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
79,2017-12-01,97,40,0,80771,2017-10-03,2017-12-01,116666.66666666667,1.0,0,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
80,2017-12-01,98,25,1,63774,2016-08-15,2017-12-25,1259731.7647058824,3.0,1,497,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
81,2017-08-01,99,30,1,38068,2017-03-24,2017-07-29,0.0,1.0,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
82,2016-05-01,101,33,1,38945,2014-12-03,2016-05-03,351968.0,1.6,1,517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2016-03-01,102,22,0,42270,2016-01-05,2016-03-21,0.0,1.0,1,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2017-07-01,103,26,0,68913,2016-11-30,2017-07-04,68047.5,1.0,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
85,2017-12-01,104,30,0,60332,2017-08-16,2017-12-01,250464.0,1.6,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
86,2016-01-01,105,38,1,67931,2015-09-18,2016-01-06,0.0,1.0,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2016-08-01,106,34,0,57671,2013-05-27,2016-08-02,563110.0,2.0,1,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
88,2017-11-01,107,35,1,102142,2016-12-12,2017-11-27,378787.5,1.75,1,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
89,2017-06-01,108,38,1,121259,2017-01-09,2017-06-02,144058.33333333334,1.0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
90,2017-12-01,109,36,0,33927,2017-04-14,2017-12-01,214213.33333333334,1.6666666666666667,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2017-02-01,110,32,0,32663,2016-09-19,2017-02-17,41968.333333333336,1.0,1,151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2016-09-01,111,52,1,73769,2013-12-13,2016-09-17,240871.11111111112,1.0,1,1009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93,2017-12-01,112,46,1,50466,2015-06-30,2017-12-01,546727.9166666666,2.875,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2016-10-01,113,42,0,47160,2016-06-23,2016-10-17,134088.0,1.6,1,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2017-12-01,114,32,0,89456,2017-09-28,2017-12-01,0.0,1.0,0,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
96,2017-12-01,115,46,1,31752,2012-07-23,2017-12-01,528122.5,2.125,0,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
97,2016-09-01,116,22,1,16477,2015-12-04,2016-09-23,124110.0,1.3333333333333333,1,294,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2017-12-01,117,47,0,144978,2013-01-28,2017-12-01,1673030.0,2.5,0,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
99,2017-09-01,118,42,0,67904,2017-03-10,2017-09-15,21528.571428571428,1.0,1,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
100,2017-03-01,119,32,0,71000,2016-11-16,2017-03-24,111544.0,1.0,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
101,2017-04-01,120,27,1,114258,2016-09-28,2017-03-29,0.0,1.0,1,182,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
