,MMM-YY,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Joining Designation,Designation,Total Business Value,Quarterly Rating,Attrtion,WorkingDays
91,2017-02-01,110,32,Female,C16,Bachelor,32663,2016-09-19,2017-02-17,1,1,41968.333333333336,1.0,True,151
92,2016-09-01,111,52,Male,C13,Bachelor,73769,2013-12-13,2016-09-17,2,3,240871.11111111112,1.0,True,1009
93,2017-12-01,112,46,Male,C29,Bachelor,50466,2015-06-30,2017-12-01,1,1,546727.9166666666,2.875,False,885
94,2016-10-01,113,42,Female,C10,College,47160,2016-06-23,2016-10-17,1,1,134088.0,1.6,True,116
95,2017-12-01,114,32,Female,C19,College,89456,2017-09-28,2017-12-01,3,3,0.0,1.0,False,64
96,2017-12-01,115,46,Male,C1,Bachelor,31752,2012-07-23,2017-12-01,1,3,528122.5,2.125,False,1957
97,2016-09-01,116,22,Male,C11,College,16477,2015-12-04,2016-09-23,1,1,124110.0,1.3333333333333333,True,294
98,2017-12-01,117,47,Female,C1,Bachelor,144978,2013-01-28,2017-12-01,1,5,1673030.0,2.5,False,1768
99,2017-09-01,118,42,Female,C27,College,67904,2017-03-10,2017-09-15,3,3,21528.571428571428,1.0,True,189
100,2017-03-01,119,32,Female,C29,Bachelor,71000,2016-11-16,2017-03-24,3,3,111544.0,1.0,True,128
101,2017-04-01,120,27,Male,C14,Master,114258,2016-09-28,2017-03-29,3,3,0.0,1.0,True,182
102,2017-05-01,121,33,Female,C13,Master,58885,2017-03-07,2017-05-24,3,3,0.0,1.0,True,78
103,2017-12-01,122,27,Male,C26,College,57406,2017-08-07,2017-12-01,2,2,121152.0,1.6,False,116
104,2016-09-01,123,44,Male,C24,Bachelor,41401,2015-10-07,2016-09-23,1,1,242684.44444444444,1.6666666666666667,True,352
105,2016-07-01,125,33,Female,C10,Master,30847,2015-07-29,2016-07-21,1,1,174540.0,1.4285714285714286,True,358
106,2016-03-01,127,33,Male,C28,Bachelor,84085,2015-05-04,2016-03-01,3,3,-23333.333333333332,1.0,True,302
107,2017-12-01,129,38,Female,C6,Bachelor,60708,2017-07-11,2017-12-01,2,2,72698.33333333333,1.0,False,143
108,2017-08-01,130,38,Male,C28,Bachelor,39990,2017-01-17,2017-07-29,2,2,366088.75,1.375,True,193
109,2016-11-01,131,38,Female,C19,Bachelor,79086,2010-10-21,2016-11-11,2,3,238214.54545454544,1.2727272727272727,True,2213
110,2017-07-01,132,27,Male,C20,Master,43165,2017-05-01,2017-07-20,2,2,0.0,1.0,True,80
111,2016-05-01,133,44,Female,C23,Master,46858,2015-07-30,2016-05-23,1,1,174622.0,1.6,True,298
112,2017-12-01,134,32,Male,C27,College,76904,2017-10-12,2017-12-01,3,3,63516.666666666664,1.0,False,50
113,2017-12-01,135,28,Male,C22,College,98877,2017-09-15,2017-12-01,3,3,379420.0,1.75,False,77
114,2016-01-01,136,37,Female,C10,College,47009,2015-10-02,2016-01-05,1,1,0.0,1.0,True,95
115,2017-12-01,137,42,Male,C28,College,33459,2017-06-05,2017-12-01,2,2,938581.4285714285,3.142857142857143,False,179
116,2016-01-01,138,48,Male,C21,Master,34827,2015-01-26,2016-01-06,1,1,0.0,1.0,True,345
117,2016-12-01,139,32,Male,C14,Bachelor,51850,2016-10-31,2016-12-05,2,2,0.0,1.0,True,35
118,2017-12-01,140,38,Male,C9,Bachelor,72253,2013-04-29,2017-12-01,1,2,580830.8333333334,2.625,False,1677
119,2017-11-01,141,35,Male,C22,Bachelor,65901,2017-07-10,2017-10-31,2,2,0.0,1.0,True,113
120,2016-02-01,142,24,Male,C16,Bachelor,29807,2015-06-10,2016-02-08,1,1,61020.0,1.0,True,243
121,2016-03-01,143,40,Male,C12,Master,24150,2015-05-01,2016-02-27,1,1,113520.0,1.0,True,302
122,2016-11-01,144,27,Male,C28,Master,21933,2016-08-19,2016-11-24,1,1,0.0,1.0,True,97
123,2017-06-01,145,35,Male,C13,Bachelor,75112,2017-02-13,2017-06-22,3,3,369456.0,2.2,True,129
124,2016-10-01,147,36,Male,C9,Bachelor,85172,2016-07-20,2016-10-01,2,2,0.0,1.0,True,73
125,2017-12-01,148,41,Male,C15,College,45288,2017-12-11,2017-12-01,2,2,0.0,1.0,False,-10
126,2017-07-01,149,34,Female,C20,College,61913,2017-04-17,2017-07-22,3,3,0.0,1.0,True,96
127,2017-12-01,150,39,Male,C17,College,29013,2013-04-22,2017-12-01,1,3,1011395.0,3.0,False,1684
128,2017-01-01,151,30,Male,C15,College,89602,2016-09-15,2017-01-21,4,4,190034.0,1.0,True,128
129,2016-06-01,152,31,Male,C17,College,31547,2015-06-03,2016-06-15,1,2,236620.0,1.5,True,378
130,2016-11-01,153,38,Female,C22,Bachelor,148588,2015-10-14,2016-11-19,5,5,133890.9090909091,1.2727272727272727,True,402
131,2017-10-01,154,30,Male,C21,Bachelor,47211,2017-07-03,2017-10-18,1,1,0.0,1.0,True,107
132,2016-02-01,155,27,Male,C26,Bachelor,118363,2014-09-10,2016-02-26,2,3,801190.0,2.0,True,534
133,2016-03-01,156,41,Female,C9,Bachelor,41046,2015-07-01,2016-02-29,1,1,0.0,1.0,True,243
134,2017-09-01,158,26,Male,C22,Bachelor,45832,2017-07-03,2017-09-23,1,1,0.0,1.0,True,82
135,2017-02-01,159,44,Female,C4,Bachelor,30121,2014-07-21,2017-02-17,1,1,448438.5714285714,2.2857142857142856,True,942
136,2016-04-01,161,38,Male,C25,Master,35793,2015-06-19,2016-03-29,1,1,0.0,1.0,True,284
137,2017-01-01,162,36,Male,C2,Bachelor,100064,2016-10-31,2016-12-30,3,3,0.0,1.0,True,60
138,2017-09-01,163,29,Male,C6,College,25731,2017-05-08,2017-09-27,1,1,0.0,1.0,True,142
139,2017-11-01,164,37,Female,C26,College,106171,2016-06-17,2017-11-27,1,4,577513.8888888889,1.5,True,528
140,2016-01-01,165,25,Female,C21,Master,76307,2015-10-16,2016-01-15,2,2,0.0,1.0,True,91
141,2016-05-01,167,26,Male,C18,Bachelor,35283,2015-03-02,2016-05-06,1,1,230924.0,1.6,True,431
142,2017-12-01,168,26,Male,C15,Master,33057,2016-10-07,2017-12-01,2,2,805838.0,3.2,False,420
143,2016-12-01,169,34,Male,C14,Master,38409,2015-05-01,2016-11-29,2,2,436613.3333333333,2.5,True,578
144,2016-11-01,170,35,Male,C7,Master,91458,2016-07-04,2016-11-23,3,3,397536.0,1.6,True,142
145,2016-07-01,171,44,Female,C23,Bachelor,56242,2015-08-24,2016-07-21,2,2,495168.5714285714,1.8571428571428572,True,332
146,2016-07-01,172,41,Female,C6,Master,101395,2014-11-07,2016-06-29,2,3,766550.0,2.7142857142857144,True,600
147,2017-12-01,173,39,Male,C28,College,56174,2011-06-13,2017-12-01,1,3,827762.0833333334,2.75,False,2363
148,2016-05-01,174,39,Female,C21,Bachelor,22065,2015-07-27,2016-05-04,1,1,594100.0,2.2,True,282
149,2016-05-01,175,31,Male,C13,College,27889,2015-09-22,2016-05-04,1,1,3916.0,1.0,True,225
150,2017-08-01,176,34,Male,C15,College,21276,2017-05-04,2017-07-29,1,1,0.0,1.0,True,86
151,2016-06-01,177,31,Male,C4,Bachelor,43053,2015-12-14,2016-06-10,1,1,100000.0,1.0,True,179
152,2016-09-01,178,23,Female,C7,College,36637,2015-09-11,2016-09-26,2,2,61111.11111111111,1.0,True,381
153,2016-05-01,179,26,Female,C11,Master,24490,2015-05-26,2016-05-04,1,1,323356.0,1.6,True,344
154,2016-11-01,180,34,Male,C29,Bachelor,95694,2015-06-26,2016-11-15,2,4,0.0,1.0,True,508
155,2017-12-01,181,30,Female,C17,Master,26926,2017-11-06,2017-12-01,3,3,0.0,1.0,False,25
156,2017-07-01,182,32,Male,C22,Master,25832,2017-01-13,2017-07-04,1,1,123760.0,1.4285714285714286,True,172
157,2017-05-01,183,26,Female,C23,Master,43263,2016-11-03,2017-05-25,1,1,129114.28571428571,1.0,True,203
158,2017-07-01,184,34,Female,C21,Master,62199,2017-04-12,2017-07-05,2,2,225790.0,1.75,True,84
159,2016-08-01,185,29,Male,C1,College,82120,2013-11-30,2016-08-18,1,3,302071.25,1.375,True,992
160,2017-03-01,187,34,Male,C26,Bachelor,20922,2016-11-02,2017-03-15,2,2,30320.0,1.0,True,133
161,2017-12-01,188,34,Male,C12,College,36483,2016-11-15,2017-12-01,2,2,179763.57142857142,1.2142857142857142,False,381
162,2016-11-01,190,36,Female,C1,College,108051,2015-11-07,2016-11-02,4,4,11089.09090909091,1.0,True,361
163,2017-12-01,191,27,Female,C11,Master,63380,2016-12-19,2017-12-01,3,3,820468.4615384615,2.6153846153846154,False,347
164,2017-12-01,192,37,Female,C9,Bachelor,66952,2017-04-10,2017-12-01,3,3,268026.6666666667,1.3333333333333333,False,235
165,2017-02-01,193,47,Male,C26,Master,59084,2015-05-07,2017-02-22,1,2,713072.8571428572,2.7142857142857144,True,657
166,2017-10-01,194,30,Male,C8,College,54074,2017-06-28,2017-10-12,2,2,500000.0,2.5,True,106
167,2017-12-01,195,27,Male,C18,College,19419,2017-09-28,2017-11-28,1,1,0.0,1.0,True,61
168,2017-12-01,196,44,Male,C14,Bachelor,75001,2017-05-29,2017-12-26,3,3,164388.57142857142,1.4285714285714286,True,211
169,2016-09-01,197,41,Male,C25,Bachelor,94594,2010-10-16,2016-09-23,2,3,220572.22222222222,1.0,True,2169
170,2017-12-01,199,30,Male,C14,College,87902,2013-12-16,2017-12-01,1,3,1313904.1666666667,3.25,False,1446
171,2017-06-01,200,46,Male,C8,Bachelor,66707,2016-11-28,2017-06-27,3,3,0.0,1.0,True,211
172,2016-09-01,201,38,Female,C5,College,42260,2016-05-30,2016-09-07,3,3,0.0,1.0,True,100
173,2017-12-01,202,33,Male,C28,College,28921,2017-10-30,2017-12-01,1,1,296650.0,2.0,False,32
174,2017-11-01,203,34,Female,C4,Master,84713,2016-07-04,2017-11-13,3,3,165672.9411764706,1.3529411764705883,True,497
175,2016-04-01,204,31,Female,C14,College,68151,2014-12-05,2016-03-29,1,2,84307.5,1.0,True,480
176,2017-12-01,205,39,Male,C12,College,15826,2017-12-20,2017-12-01,1,1,0.0,1.0,False,-19
177,2017-12-01,206,26,Female,C10,College,12968,2017-09-28,2017-12-01,1,1,0.0,1.0,False,64
178,2016-04-01,207,32,Male,C29,College,61894,2015-05-09,2016-04-16,3,3,802430.0,1.75,True,343
179,2016-05-01,208,31,Male,C16,Master,31657,2016-01-06,2016-05-24,1,1,75356.0,1.0,True,139
180,2017-12-01,210,38,Male,C29,Master,64583,2017-05-03,2017-12-01,3,3,100317.5,1.0,False,212
181,2017-08-01,211,34,Female,C6,Master,81730,2017-06-05,2017-07-29,3,3,0.0,1.0,True,54
182,2017-12-01,213,37,Male,C24,College,59947,2015-09-05,2017-12-01,2,2,507607.9166666667,2.25,False,818
183,2017-05-01,215,26,Female,C15,Bachelor,17307,2016-07-19,2017-05-17,1,1,158400.9090909091,1.5454545454545454,True,302
184,2017-07-01,216,30,Male,C20,Bachelor,86340,2016-07-04,2017-07-25,2,2,540068.4615384615,2.3846153846153846,True,386
185,2016-06-01,217,32,Male,C10,Bachelor,27328,2013-05-20,2016-06-24,1,2,975705.0,2.5,True,1131
186,2017-12-01,218,25,Male,C21,College,27979,2017-07-31,2017-12-01,1,1,146924.0,1.6,False,123
187,2016-11-01,219,36,Male,C5,College,51657,2015-05-11,2016-11-11,2,2,255031.81818181818,1.2727272727272727,True,550
188,2016-10-01,220,38,Female,C18,Bachelor,107539,2010-11-20,2016-10-14,2,3,278445.0,1.3,True,2155
189,2016-01-01,221,31,Male,C3,College,13051,2015-12-29,2016-01-19,1,1,0.0,1.0,True,21
190,2016-10-01,222,26,Male,C2,College,92753,2016-09-12,2016-10-08,3,3,0.0,1.0,True,26
191,2016-04-01,223,25,Male,C20,College,59108,2015-08-24,2016-04-13,2,2,389977.5,1.75,True,233
192,2017-12-01,225,32,Female,C14,College,44792,2017-07-13,2017-12-01,3,3,373711.6666666667,2.0,False,141
193,2017-05-01,226,36,Female,C18,Bachelor,55528,2016-11-09,2017-05-02,2,2,167471.42857142858,1.0,True,174
194,2017-12-01,227,45,Female,C29,Master,61912,2017-05-01,2017-12-12,3,3,904743.75,2.625,True,225
195,2017-05-01,228,45,Male,C6,Master,53385,2013-07-25,2017-05-01,1,1,611183.5294117647,3.1176470588235294,True,1376
196,2017-04-01,229,43,Male,C28,College,104995,2016-08-03,2017-04-10,4,4,1327490.0,1.7777777777777777,True,250
197,2017-01-01,230,34,Male,C25,College,44359,2015-10-13,2016-12-30,2,2,448036.92307692306,2.3846153846153846,True,444
198,2016-01-01,231,32,Male,C5,Bachelor,21354,2015-10-22,2016-01-05,1,1,0.0,1.0,True,75
199,2016-01-01,232,34,Male,C15,Master,23185,2015-07-03,2016-01-21,1,1,0.0,1.0,True,202
200,2017-12-01,233,36,Female,C27,Bachelor,139139,2017-06-28,2017-12-01,3,3,83333.33333333333,1.0,False,156
201,2017-12-01,234,27,Female,C23,Bachelor,52616,2017-01-02,2017-12-01,2,2,233395.0,1.5,False,333
202,2016-02-01,235,39,Female,C16,College,37873,2015-10-08,2016-02-11,1,1,0.0,1.0,True,126
203,2017-12-01,237,33,Male,C10,College,75626,2017-09-04,2017-12-01,3,3,45267.5,1.0,False,88
204,2017-06-01,238,32,Male,C20,College,40168,2017-01-14,2017-06-27,2,2,82551.66666666667,1.0,True,164
205,2016-01-01,241,24,Male,C1,College,33901,2015-11-12,2016-01-06,1,1,0.0,1.0,True,55
206,2017-01-01,242,28,Male,C21,College,11236,2016-11-03,2017-01-07,1,1,0.0,1.0,True,65
207,2017-12-01,243,26,Male,C4,Master,60228,2017-08-14,2017-12-01,3,3,96630.0,1.0,False,109
208,2016-10-01,244,40,Male,C20,Master,37346,2015-05-04,2016-10-04,1,2,309534.0,1.9,True,519
209,2017-12-01,245,38,Male,C23,Master,77903,2017-09-11,2017-12-15,2,2,0.0,1.0,True,95
210,2016-09-01,246,42,Male,C10,Bachelor,64128,2013-12-13,2016-09-14,1,2,253132.22222222222,1.6666666666666667,True,1006
211,2017-10-01,247,39,Female,C4,College,27294,2017-06-14,2017-10-23,2,2,123980.0,1.6,True,131
212,2017-12-01,252,37,Male,C24,Master,81700,2015-06-16,2017-12-01,1,3,1181170.4166666667,2.875,False,899
213,2016-01-01,256,21,Male,C10,College,25172,2015-10-19,2016-01-22,1,1,0.0,1.0,True,95
214,2017-02-01,257,30,Male,C29,Bachelor,31655,2016-12-14,2017-02-08,3,3,50076.666666666664,1.0,True,56
215,2017-12-01,258,29,Male,C13,College,25459,2017-05-03,2017-12-01,1,1,332256.25,2.125,False,212
216,2017-01-01,260,29,Male,C24,Bachelor,47864,2016-10-31,2017-01-06,1,1,0.0,1.0,True,67
217,2017-04-01,261,42,Female,C20,Master,90988,2015-07-27,2017-04-12,3,3,494548.125,1.9375,True,625
218,2016-07-01,262,28,Female,C2,Bachelor,24862,2016-01-16,2016-07-16,2,2,171431.42857142858,1.4285714285714286,True,182
219,2017-12-01,263,24,Male,C6,College,19170,2017-10-12,2017-12-01,1,1,96500.0,1.0,False,50
220,2017-12-01,264,25,Male,C11,Master,49439,2017-12-18,2017-12-18,1,1,0.0,1.0,True,0
221,2017-12-01,265,34,Male,C3,Bachelor,40381,2017-05-30,2017-12-01,1,1,243825.7142857143,1.8571428571428572,False,185
222,2016-06-01,266,43,Male,C16,Bachelor,40102,2014-10-17,2016-06-08,1,2,426441.6666666667,1.5,True,600
223,2017-07-01,267,36,Male,C5,College,89200,2016-10-07,2017-07-14,3,3,364389.0,1.4,True,280
224,2017-08-01,268,31,Female,C6,Bachelor,54352,2016-06-01,2017-07-29,1,1,268289.3333333333,2.0,True,423
225,2017-08-01,270,36,Male,C11,Bachelor,76336,2017-05-04,2017-07-29,3,3,65000.0,1.0,True,86
226,2017-12-01,271,38,Male,C29,Master,134529,2017-05-29,2017-12-01,4,4,2738444.285714286,3.142857142857143,False,186
227,2017-12-01,272,37,Male,C5,Bachelor,64901,2016-05-30,2017-12-01,2,2,473306.84210526315,2.263157894736842,False,550
228,2017-12-01,273,29,Male,C16,Bachelor,40259,2017-08-30,2017-12-01,1,1,115492.5,1.0,False,93
229,2017-12-01,274,39,Male,C7,Bachelor,53224,2017-12-20,2017-12-01,2,2,0.0,1.0,False,-19
230,2017-12-01,275,41,Male,C20,College,97226,2013-05-02,2017-12-01,1,4,1404074.5833333333,2.875,False,1674
231,2017-12-01,276,30,Female,C23,Bachelor,107495,2017-06-30,2017-12-01,3,3,160946.66666666666,1.5,False,154
232,2016-03-01,278,34,Male,C2,College,52191,2013-10-21,2016-03-17,1,1,176336.66666666666,1.0,True,878
233,2017-07-01,279,29,Female,C2,College,41800,2016-11-02,2017-07-03,1,1,304014.44444444444,1.8888888888888888,True,243
234,2017-02-01,280,34,Female,C6,Master,108013,2010-10-12,2017-02-11,4,4,482230.71428571426,1.4285714285714286,True,2314
235,2017-12-01,281,43,Female,C20,Bachelor,78607,2017-10-10,2017-12-01,3,3,82270.0,1.0,False,52
